Company name,Industry group,Country,Full time employees,Risk rating score,Risk rating assessment,Industry group position,Industry group positions total,Universe position,Universe positions total,Company description
AF Gruppen ASA,Construction & Engineering,Norway,"6,176",33.8,High Risk,117,353,12793,15785,"AF Gruppen ASA A is one of Norway's leading contracting and industrial groups. It provides civil engineering and services geared toward environmental, building, and energy markets. The company conducts projects related to roads, railways, ports, power, and energy development. For buildings and property development, its services span the entire value chain, and resources are utilized for planning and execution. The majority of revenue comes from traditional building activities, including new projects and rehabilitation ventures. Environmental services revolve around demolition, removal, and environmental clean-up of buildings and industrial plants. AF Gruppen's customers are primarily public agencies and private companies."
"AFC Gamma, Inc.",Diversified Financials,United States of America,0,29.8,Medium Risk,518,912,10846,15785,"AFC Gamma Inc is a commercial real estate finance company. The company originates, structures, underwrites and manages senior secured loans and other types of loans for established cannabis industry operators in states that have legalized medicinal and/or adult-use cannabis."
"Affiliated Managers Group, Inc.",Diversified Financials,United States of America,"3,950",21.5,Medium Risk,220,912,5345,15785,"Affiliated Managers Group offers investment strategies to investors through its network of affiliates. The firm typically buys a majority interest in small to midsize boutique asset managers, receiving a fixed percentage of revenue from these firms in return. Affiliates operate independently, with AMG providing strategic, operational, and technology support, as well as global distribution. At the end of September 2023, AMG's affiliate network—which includes firms like AQR Capital Management, and Pantheon in alternative assets and other products (which accounted for 36% of AUM), Artemis, Genesis, Harding Loevner, and Tweedy Browne in global and emerging-market equities (27%) and Frontier, River Road, Parnassus, and Yacktman in U.S. equities (21%)—had $635.8 billion in managed assets."
Affin Bank Bhd.,Banks,Malaysia,"4,682",25.4,Medium Risk,429,1014,8048,15785,"Affin Bank Bhd is a Malaysia-based bank. It operates in four segments: Commercial Banking, Investment Banking, Insurance, and Others. The company provides consumer banking, car hire purchase, mortgages, credit & debit cards, and wealth management. Under the Affin Islamic name, the bank provides Shariah-compliant services to clients. The majority of the group's revenue comes from Commercial Banking within Malaysia."
Affinity Water Ltd.,Utilities,United Kingdom,N/A,27.5,Medium Risk,255,704,9363,15785,"Affinity Water Ltd operates as a water supply company. It is responsible for sourcing, treating, and distributing clean drinking water to its customers, The company operates and maintains a vast network of pipes, reservoirs, treatment plants, and pumping stations."
"Affirm Holdings, Inc.",Diversified Financials,United States of America,"2,171",27.4,Medium Risk,410,912,9304,15785,"Affirm Holdings Inc offers a platform for digital and mobile-first commerce. It comprises a point-of-sale payment solution for consumers, merchant commerce solutions, and a consumer-focused app. The firm generates its revenue from merchant networks, and through virtual card networks among others. Geographically, it generates a majority share of its revenue from the United States."
Affle (India) Ltd.,Software & Services,India,551,20.5,Medium Risk,375,1106,4692,15785,Affle India Ltd is engaged in the global technology business. The activities of the group function through two segments: the Consumer Platform and Enterprise Platform. The Consumer Platform provides services such as new consumer conversions through relevant mobile advertising; retargeting existing consumers to complete transactions for e-commerce companies through relevant mobile advertising; and an online to offline platform that converts online consumer engagement into in-store walk-ins. The Enterprise Platform provides end-to-end solutions for enterprises to enhance their engagement with mobile users. Geographically the activities are carried out throughout India. The company generates the majority of its revenue from the Consumer platform segment.
Affordable Housing Finance Plc,Diversified Financials,United Kingdom,N/A,29.6,Medium Risk,497,912,10684,15785,Affordable Housing Finance PLC provides financial services and offers financing facilities for homes and investments opportunities and its principal activity is to manage and deliver the affordable Housing Guarantee scheme and company serves customers in the United Kingdom.
AFI Properties Ltd.,Real Estate,Israel,308,24.4,Medium Risk,959,1044,7360,15785,"AFI Properties Ltd is a real estate developer which initiates, constructs, rents and operates industrial buildings, offices, and commercial properties in Israel and Europe. The company also develops residential projects in Europe. The company's commercial buildings include Beit Harofim, Vertex House, The Main Commercial Center and Stage Center. Its shopping malls consist of Lev Hamoshava at City Center, Lev Talpiot, The Panorama Center and Big Fashion. Its offices portfolio includes Psagot Tower, Concorde Tower and AFI Square-Tel Aviv. Its logistic parks include Rehovot Science Park, Global Park Lod, Weitzmann Science Park and Migdal HaEmek Science Park."
"Aflac, Inc.",Insurance,United States of America,"12,882",18.3,Low Risk,43,303,3361,15785,"Aflac Inc offers supplemental health insurance and life insurance in the two largest insurance markets in the world, the U.S. and Japan. In addition to its cancer policies, the company has broadened its product offerings to include accident, disability, and long-term-care insurance. It markets its products through independent distributors, selling most of its policies directly to consumers at their places of work."
"AfreecaTV Co., Ltd.",Software & Services,South Korea,751,20.8,Medium Risk,397,1106,4893,15785,"AfreecaTV Co is engaged in offering Internet-based services around the social media platform AfreecaTV. It offers digital media storage, streaming, downloading, video on demand, and advertising services."
Africa Finance Corp.,Banks,Nigeria,N/A,14.5,Low Risk,98,1014,1484,15785,"Africa Finance Corp is an African company that consults and invests in African or other companies that serve mainly in the power, natural resources, Transport and logistics, Heavy industries, Telecommunications and technologies, project development, product solutions and portfolio management across different African countries."
Africa Israel Residences Ltd.,Real Estate,Israel,61,24.5,Medium Risk,960,1044,7383,15785,"Africa Israel Residences Ltd operates in the field of residential real estate industry. The company offers high quality new apartments featuring specifications within residential neighborhoods. It projects include Savyoney Ganey Tikva, Savyoney Givat Shmuel, borochov 47, Givatayim Savyoney Nof Hadera, Savyon Platinum Tower, Ramat Gan, Savyoney TLV, Kiryat Savyonim, Yehud, Life Park, Petah Tikvah amomg others."
Africa Oil Corp.,Oil & Gas Producers,Canada,24,43.9,Severe Risk,134,312,15019,15785,"Africa Oil Corp is an international oil and gas exploration company. It is an exploration stage enterprise that participates in oil and gas projects located in emerging markets, in sub-Saharan Africa. The company operates in the business segment of international oil and gas exploration, and geographically, it operates in Kenya and Ethiopia."
African Export-Import Bank,Banks,Egypt,N/A,39.4,High Risk,1008,1014,14415,15785,"African Export-Import Bank is a supranational financial institution that facilitates, promotes and expands intra and extra-African trade. Its functions include extending credit to eligible African exporters by providing pre- and post-shipment finance; extending indirect credit to African exporters and importers of African goods through the intermediary of banks and other African financial institutions; leveraging external financing through syndication; promoting and financing trade between African states and other developing states; acting as intermediary between African exporters and African and non-African importers through the issuance of letters of credit, guarantees and other trade documents in support of export-import transactions; among others."
African Rainbow Minerals Ltd.,Diversified Metals,South Africa,"22,931",33.6,High Risk,58,229,12720,15785,"African Rainbow Minerals Ltd is a South African diversified mining and minerals company. The group has various operating divisions: platinum, ferrous, coal, copper, and corporate. In addition, African Rainbow Minerals has an investment in gold through its shareholding in Harmony. Ferrous is the group's largest division, contributing roughly half of group revenue, closely trailed by the platinum division. The platinum division includes the Two Rivers Platinum Mine as a 51% subsidiary and an interest in the Modikwa Platinum Mine. The ferrous division comprises Assmang as a 50% joint venture, which includes iron ore, manganese, and chrome operations."
Afrimat Ltd.,Construction Materials,South Africa,"2,824",30.5,High Risk,41,142,11254,15785,"Afrimat Ltd is a South Africa-based company. It operates in three segments: Construction Materials, which comprises aggregates, concrete-based products, and contracting operations; Industrial Minerals segment consists mainly of the sale of limestone, dolomite, and industrial sand; Bulk Commodities segment includes iron ore and anthracite; and Services segment consists of Group shared services including IT services, consulting services, etc. It operates in a single geographical segment, which is the African region."
AFRY AB,Construction & Engineering,Sweden,"19,281",22.7,Medium Risk,10,353,6150,15785,"Afry AB is an engineering and consulting firm with projects in energy, industrial, and infrastructure markets. It develops solutions for public and private clients and has the capabilities to serve all regions of the world. The business divisions are Industrial & Digital Solutions, infrastructure, Process Industries, Energy, and Management Consulting. It constructs plants and provides market analysis for power generation, manufacturing facilities, and refining chemicals. Infrastructure projects provide sustainable and technological solutions for railways, roads, and other transportation networks. Sales are concentrated in Europe, and the company strengthens customer relationships by providing customized services."
After You Public Co. Ltd.,Consumer Services,Thailand,N/A,33.2,High Risk,438,509,12559,15785,"After You PCL is a Thailand based company engaged in the operation of food and beverage outlets. Its dessert cafes provide various desserts and drinks, including Shibuya honey toasts, Signature dessert menus, breakfast sets, and non-alcoholic beverages. It is also engaged in the catering business. Geographically the company's operations are carried on only in Thailand."
AG Anadolu Grubu Holding AS,Industrial Conglomerates,Turkey,"69,358",31.5,High Risk,26,125,11801,15785,"Ag Anadolu Grubu Holding Anonim Sirketi, formerly Yazicilar Holding AS, is a holding company. The company through its subsidiaries manages six primary segments: Automotive (including passenger vehicles, commercial vehicles, generators, spare and component parts, operational lease); Migros (retail, stationery, chain restaurant management, and tourism), Beer, Soft-drinks, Energy and industry, and other (information technologies and trade). The largest three segments by profit are Migros, Soft-drinks, and Beer."
"Ag Growth International, Inc.",Machinery,Canada,"4,987",22.6,Medium Risk,97,585,6090,15785,"Ag Growth International Inc manufactures portable and stationary grain handling, storage, and conditioning equipment, including augers, belt conveyors, grain storage bins, grain handling accessories, grain aeration equipment, and grain drying systems. The company operates mainly in Portable handling, permanent handling, storage and conditioning, livestock, and manufacturing sectors. It has two reportable segment farm and commercial. Some of its brands are batco, wheatheart, westfield, storm, rem, hi roller, union iron, hsi, tramco, ptm, vis, nuvision. It has manufacturing facilities in Canada, the United States, Italy, Brazil, France, United Kingdom, and India. Its geographical segments are Canada, United States, and the International."
"AGC, Inc. (Japan)",Building Products,Japan,"57,609",22.1,Medium Risk,36,150,5774,15785,"AGC Inc produces and sells glass and glass-related products in two segments based on product type: Automotive glass and Float glass. The Automotive glass segment, which generates the majority of revenue, is the largest automotive glass supplier in India. The Float glass segment manufactures and sells glass products to the architectural, interior design, and construction industries. The segment also produces solar glass, which is used for solar power generation. Nearly all of the company's revenue comes from India."
AGCO Corp.,Machinery,United States of America,"25,600",17.6,Low Risk,24,585,2941,15785,"Agco is a global manufacturer of agricultural equipment. The company has five core brands: Fendt, Massey Ferguson, Challenger, Valtra, and GSI. Unlike its competitors, Agco's product line extends beyond self-propelled equipment and implements to grain handling systems and livestock management solutions. Its products are available through a global dealer network, which includes over 3,200 dealer and distribution locations. Agco offers retail and wholesale financing to customers through its joint venture with Rabobank, a European food- and agriculture-focused bank."
ageas SA/NV,Insurance,Belgium,"14,673",20.7,Medium Risk,84,303,4824,15785,"Ageas is a life and nonlife insurance company that derives most of its income from life and savings, mostly from Belgium and is headquartered in Brussels. Ageas is essentially the result of the failed bid for ABN Amro by Banco Santander; Fortis; Royal Bank of Scotland. The capital requirements placed on these banks as a result of the acquisition combined with severe write-downs on its collateralised debt obligations in the case of Fortis left the business requiring capital. A less successful capital raising that took place during the global financial crisis wasn't enough and the bank, Fortis, had to be sold and nationalized. What remained was Fortis Insurance, which in 2010 was renamed to Ageas."
Agence France Locale Société anonyme,Banks,France,N/A,18.3,Low Risk,184,1014,3339,15785,"Agence France Locale Societe anonyme is a public development finance institution that provides financing to French local authorities to help assist them to obtain funding for their infrastructure and development projects. It generates revenue by providing financial services to local authorities, such as issuing bonds and loans and charging fees for these services."
"Agenus, Inc.",Pharmaceuticals,United States of America,533,27.6,Medium Risk,363,896,9471,15785,"Agenus Inc is an American clinical-stage company with a pipeline of therapies designed to activate the body’s immune system to fight cancer and infections, including immune-modulatory antibodies, adoptive cell therapies through its subsidiary MiNK Therapeutics Inc. and vaccine adjuvants through its subsidiary SaponiQx Inc. This robust product pipeline is supported by company's in-house capabilities, including current good manufacturing practice (cGMP) manufacturing and a clinical operations platform. The company's antibody candidates are botensilimab (a proprietary next-generation Fc-engineered CTLA-4 antibody, also known as AGEN1811) and balstilimab (a PD-1 antibody)."
Agfa-Gevaert NV,Healthcare,Belgium,"7,000",14.3,Low Risk,25,623,1386,15785,"Agfa-Gevaert NV develops, produces, and distributes a range of analog and digital imaging systems and information technology solutions, for the printing sector, healthcare sector, and specific industrial applications. The company's operating segment includes Offset Solutions; Digital Print and Chemicals; Radiology Solutions and Healthcare IT. It generates maximum revenue from the Offset Solutions segment. The Offset Solutions division is a supplier to the offset printing industry, offering commercial, newspaper, and packaging printers and an extensive range of integrated prepress and printing solutions."
Agile Group Holdings Ltd.,Real Estate,China,"101,907",17.5,Low Risk,551,1044,2858,15785,"Agile Group is one of the largest Chinese developers listed (2005) on the Hong Kong Exchange. Its main business is property development, with a land bank spread across China and overseas, including key cities in Zhongshan, Guangzhou, and Hainan. Agile spun off its complementary property management business A-Living Services on the Hong Kong Exchange in February 2018; we believe this business is poised to enjoy healthy organic and inorganic growth in gross floor area under management. The company also operates a commercial portfolio consisting of hotels and investment properties, as well as construction. Its environmental business covers waste and water treatment, currently operating in an initial growth phase."
"Agilent Technologies, Inc.",Pharmaceuticals,United States of America,"18,300",13.3,Low Risk,7,896,1038,15785,"Originally spun out of Hewlett-Packard in 1999, Agilent has evolved into a leading life sciences and diagnostics firm. Today, Agilent's measurement technologies serve a broad base of customers with its three operating segments: life science and applied tools, cross lab (consisting of consumables and services related to life science and applied tools), and diagnostics and genomics. Over half of its sales are generated from the biopharmaceutical, chemical, and advanced materials end markets, but it also supports clinical lab, environmental, forensics, food, academic, and government-related organizations. The company is geographically diverse, with operations in the U.S. and China representing the largest country concentrations."
"Agiliti, Inc. (Minnesota)",Healthcare,United States of America,"5,500",21.2,Medium Risk,173,623,5150,15785,"Agiliti Inc is a provider of end-to-end healthcare technology management and service solutions to the United States healthcare industry. The services provided by the company include Clinical engineering, Equipment rental, Imaging services, and Onsite Management among others. Geographically, it operates only in the United States."
Agility Public Warehousing Co. KSC,Transportation,Kuwait,"37,418",21.3,Medium Risk,134,397,5242,15785,"Agility Public Warehousing Co is a Kuwait-based company. The company's segment includes Controlled entities and Investments. It generates maximum revenue from the Controlled entities segment. The entities that are part of Controlled entities segment provides services that include real estate, fuel logistics, airplane ground handling and cleaning services, cargo and lounge management, customs operations and management, construction and remote site services, customs consulting and waste recycling."
"Agilon Health, Inc.",Healthcare,United States of America,747,26.0,Medium Risk,300,623,8413,15785,Agilon Health Inc is transforming healthcare by empowering community-based physicians with the resources and expertise they need to innovate the payment and delivery of care for seniors. The company enables physicians to create their own Medicare-centric globally capitated line of business.
"Agilysys, Inc.",Technology Hardware,United States of America,"1,600",13.2,Low Risk,131,652,989,15785,"Agilysys Inc develops industry-specific technology solutions to help manage businesses. The firm offers technological solutions to control business operations, including property management, point-of-sale, dining reservations, inventory and procurement, analytics, labor management, self-service, and document management. It serves sectors such as gaming, hotels, resorts and cruise, corporate foodservice management, restaurants, universities, stadiums, and healthcare. The majority of the revenues are generated through contract support, maintenance, and subscription services it provides. Agilysys operates across North America, Europe, the Middle East, Asia-Pacific, and India."
"Agios Pharmaceuticals, Inc.",Pharmaceuticals,United States of America,389,23.7,Medium Risk,151,896,6793,15785,"Agios Pharmaceuticals Inc is a biopharmaceutical company with a focus on developing treatments geared towards cancer and rare genetic disorders of metabolism. The company's primary focus is to develop potentially transformative small-molecule medicines. The clinical development strategy for Agios' product candidates includes a precision approach with initial study designs that allow for genetically or biomarker-defined patient populations. The company seeks the potential for proof of concept early in clinical development, along with any potential for accelerated approval."
AGL Energy Ltd.,Utilities,Australia,"3,358",35.6,High Risk,466,704,13431,15785,"AGL Energy is one of Australia's largest retailers of electricity and gas. It services over 4 million retail electricity and gas accounts in Australian, or about one third of the market. Profit is dominated by energy generation, underpinned by its low-cost coal-fired generation fleet. Founded in 1837, it is the oldest company on the ASX. Generation capacity comprises a portfolio of renewable, peaking, intermediate, and base-load electricity generation plants."
AGNC Investment Corp.,Real Estate,United States of America,51,16.1,Low Risk,454,1044,2205,15785,"AGNC Investment Corp is a real estate investment trust that invests in agency residential mortgage-backed securities. The firm's asset portfolio is comprised of residential mortgage pass-through securities and collateralized mortgage obligations for which the principal and interest payments are guaranteed by a U.S. Government-sponsored enterprise, such as the Federal National Mortgage Association and the Federal Home Loan Mortgage Corporation, or by a U.S. Government agency, such as the Government National Mortgage Association. It also invests in other types of mortgage and mortgage-related residential and commercial mortgage-backed securities or other investments in or related to, the housing, mortgage or real estate markets."
Agnico Eagle Mines Ltd.,Precious Metals,Canada,"10,125",21.4,Medium Risk,11,117,5270,15785,"Agnico Eagle is a gold miner with mines in Canada, Mexico, Finland, and Australia. Agnico operated just one mine, LaRonde, as recently as 2008 before bringing its other mines online in rapid succession in the following years. It merged with Kirkland Lake Gold in 2022, acquiring the Detour Lake and Macassa mines in Canada along with the high-grade, low-cost Fosterville mine in Australia. It produced more than 3.1 million gold ounces in 2022 and had about 15 years of gold reserves at end 2022. Agnico Eagle is focused on increasing gold production in lower-risk jurisdictions and bought the remaining 50% of its Canadian Malartic mine along with the Wasamac project and other assets from Yamana Gold in 2023."
"Agora, Inc. (China)",Software & Services,China,"1,001",25.9,Medium Risk,872,1106,8340,15785,"Agora Inc provides real-time communication solutions. The company offers real-time video calling, voice calling, live audio and video streaming, recording, and real-time messaging. It serves the gaming, retail, and education industries. The company operates in the People's Republic of China and the United States of America and the majority of its revenue is derived from the People's Republic of China."
AGRANA Beteiligungs-AG,Food Products,Austria,"9,003",29.7,Medium Risk,198,628,10776,15785,"Agrana Beteiligungs AG is a processor of raw materials that manufactures foods and intermediate products for the downstream food industry as well as for non-food applications. The company operates in three segments Sugar, Starch, and Fruit. The Sugar segment processes sugar beet from contract growers and also refines raw sugar purchased. The Starch segment processes and refines raw materials grown by contract farmers or purchased in the open market mainly corn, wheat, and potatoes into premium starch products. The Fruit segment, which is the key revenue driver, custom designs and produces fruit preparations and fruit juice concentrates. The company derives its revenue from Austria, Hungary, Romania and Rest of Europe."
Agree Realty Corp.,Real Estate,United States of America,76,15.2,Low Risk,383,1044,1784,15785,"Agree Realty Corporation operates as a fully integrated real estate investment trust mainly focused on the ownership, acquisition, development and management of retail properties net leased to industry-leading tenants. The Company is mainly in the business of acquiring, developing and managing retail real estate. Some of its properties in the portfolio include Walmart, 7-Eleven, Wawa, Gerber Collision and others."
Agricultural Bank of China (London Branch),Banks,United Kingdom,N/A,26.1,Medium Risk,462,1014,8485,15785,N/A
Agricultural Bank of China Ltd.,Banks,China,"444,932",29.5,Medium Risk,737,1014,10680,15785,"As one of the big four banks, ABC is headquartered in Beijing. The bank evolved from a state-owned specialized bank to a state-controlled commercial bank. It listed on the Hong Kong and Shanghai Stock Exchanges in 2010. ABC operates more than 20,000-branch network in China, providing corporate and retail banking products and services, and carries out treasury operations for its own accounts or for its customers. Shareholders Central Huijin, China's state-owned investment company, and the Ministry of Finance own 37.15% and 32.47%, respectively. Corporate banking, retail banking, and wholesale banking accounted for 41%, 53%, and 6% of total revenue in the first half of 2023, respectively. Rural banking and urban banking contributed 49% and 51% of total revenue during the same period."
Agricultural Bank of China Ltd. (Singapore Branch),Banks,Singapore,N/A,28.8,Medium Risk,676,1014,10232,15785,"Agricultural Bank of China Ltd Singapore Branch provides a wide range of financial services to its customers in Singapore, China as well as the south-east Asia region. The main businesses of the Singapore Branch include corporate lending, foreign exchange, investment securities, trade financing, international trade settlement and investment banking inquiry services, with a competitive advantage in China-related trade financing and settlements, and cross-border renminbi-related trade services."
Agritrade Resources Ltd.,Oil & Gas Producers,Hong Kong,"1,375",50.4,Severe Risk,203,312,15492,15785,"Agritrade Resources Ltd is active in the Coal industry. The principal activities of the company include mining, exploration, logistics, the sale of coal and other mining-related activities. Agritrade operates through three business segments namely the Mining segment, the Energy segment and the Shipping segment. The Mining segment engages in the production, processing, transportation, sales, marketing and trading of coal; the Energy segment involves the production of biodiesel in the United States of America and the Shipping segment comprises the provision of shipping transportation, vessel storage and relevant logistics services for crude oil and petrochemical products under time chartering or long-term contracts. The Majority of the company's revenue comes from Indonesia."
Agrosuper SA,Food Products,Chile,N/A,34.1,High Risk,325,628,12883,15785,"Agrosuper SA manufactures and markets animal protein products made from chicken, pork, turkey, salmon and processed products. The production process is vertically integrated and is composed of animal feed factories, breeding farms, processing plants, distribution centers, marine farms and commercial offices. This allows the Company to provide a broad portfolio of products to customers and consumers in Chile and the world. The operating segment of the company includes meat, aquaculture and others. The majority of revenue is derived from the meat segment."
Agthia Group PJSC,Food Products,United Arab Emirates,"11,807",30.9,High Risk,230,628,11464,15785,"Agthia Group PJSC is a food and beverage company that sells its products to customers across the UAE, GCC, Turkey, and the wider Middle East. Its product portfolio is categorized into segments, including flour and animal feed, water and beverages, processed fruits and vegetables, and dairy and frozen baked products. The company operates through two businesses: agribusiness, which manages, manufactures, distributes, and markets Grand Mills flour and Agrivita animal feed products; and consumer business, which operates in the food and beverage sector and provides products including bottled drinking water, juices, sauces, and dairy products."
Agua y Saneamientos Argentinos SA,Utilities,Argentina,N/A,37.1,High Risk,506,704,13951,15785,Agua y Saneamientos Argentinos SA engaged in provision of drinking water and sanitation services.
Aguas Andinas SA,Utilities,Chile,"1,124",22.0,Medium Risk,137,704,5696,15785,"Aguas Andinas SA delivers water-treatment solutions and other sanitation services under concession arrangements from the Chilean government. The company collects, cleans, and distributes water to residential, commercial, and industrial clients. Also, the company treats and disposes sewage and remnants from the process. Wastewater is decontaminated and used for irrigation systems. Aguas Andinas has two operating segments: water (a majority of total revenue) and nonwater. The company gathers water flowing from the Andes and has plants to transform it into a usable form. It uses tanks and an extensive underground network to distribute water to customers."
AGV Products Corp.,Food Products,Taiwan,"1,231",33.0,High Risk,296,628,12468,15785,"AGV Products Corp is engaged in manufacturing, processing, and distributing food products. It provides varieties of juices, dairy products, traditional food, and healthcare products. The company's products include green tea, herb tea, milk tea, spicy chili sauce, sweet chili sauce, pickled cucumber; olive oil, grape seed oil, canned food, and soft drinks among others. The segments of the company are the room temperature segment, low-temperature segment, international trade segment, health segment, and OEM segment. The majority of the revenue of the company comes from the Room Temperature segment."
Ahli Bank QPSC,Banks,Qatar,402,35.1,High Risk,976,1014,13293,15785,"Ahli Bank QSC provides corporate and retail banking services to individual, corporate, and institutional customers in Qatar. The Bank provides its products and services through two of its business segments: Retail and Private Banking and Wealth Management, which includes customer deposits, residential mortgages, etc and wealth management services to high net worth individuals, and the other segment is Corporate banking, treasury, investments, and brokerage, which includes loans and credit facilities, deposits for corporate and institutional customers and other money market and trading services. The majority of the revenue is earned from the corporate banking segment."
Ahli United Bank,Banks,Kuwait,632,26.5,Medium Risk,484,1014,8752,15785,"Ahli United Bank KSCP is a Kuwait-based company engaged in carrying out banking activities. It offers products and services such as credit, deposit services, correspondent banking, clearing, money market, foreign exchange, and securities trading. The company's reportable segments are Retail and commercial banking, and Treasury and Investment Management. It generates maximum revenue from the Retail and commercial banking segment. The firm's business is spread across the region of Kuwait, Europe, North America, Other GCC, and Other countries."
"Ahnlab, Inc.",Software & Services,South Korea,"1,300",25.7,Medium Risk,856,1106,8235,15785,"AHNLAB Inc develops industry- leading information security solutions and services for consumers, enterprises, and small and medium businesses worldwide. AhnLab solutions portfolio comprises advanced threat analysis, cloud-based intelligence, endpoint security, network security, advanced threat defense, and security consulting services. The company provides real-time detection and prevention of malware, malicious codes, hacking attacks."
Ai Holdings Corp.,Technology Hardware,Japan,"1,341",17.0,Low Risk,262,652,2632,15785,"Ai Holdings is mainly engaged in information equipment and security equipment businesses. The company has several business segments: security equipment, card equipment, maintenance service, information equipment, measuring device and environmental testing equipment, design, leasing, and installment. The security equipment sector offers surveillance cameras and recorders, as well as services. The card equipment segment offers card-issuing system equipment. The information equipment segment's main products are cutting machines and scanners. The measurement equipment segment offers environmental test equipment that accomodates a wide range of data such as voltage, temperature, humidity, and pulse. The design segment is mainly focused on the earthquake-resistant structural design."
AIA Engineering Ltd.,Machinery,India,"1,326",23.9,Medium Risk,135,585,6999,15785,"AIA Engineering Ltd is an India-based company that develops, manufactures, and distributes chromium consumable wear parts, including grinding media, shell liners, diaphragms, grinding tables, heat-resistant castings, cone crushers, and others. The company's products are applied in the crushing/grinding processes in the cement, mining, thermal power, and other sectors. AIA Engineering Ltd generates the majority of its sales from markets outside of India. Vega Industries, a wholly-owned subsidiary of this company, is responsible for distributing the company's products outside India."
AIA Group Ltd.,Insurance,Hong Kong,"25,405",12.7,Low Risk,7,303,833,15785,"AIA is one of the largest pan-Asian insurance providers with a wide range of products including retirement savings plans, life insurance, and accident and health insurance. The company is headquartered in Hong Kong. It was previously part of AIG and went for a separate listing in Hong Kong in 2010. The firm also provides employee benefits, credit life, and pension services to corporate clients. AIA is present in 18 markets and serves the holders of more than 30 million individual policies and over 16 million participating members of group insurance schemes."
AIB Group plc,Banks,Ireland,"10,133",12.7,Low Risk,67,1014,850,15785,"AIB Group PLC is a banking services company. The company's operating segments are Retail Banking; Capital Markets; AIB UK and Group. It generates maximum revenue from the Retail Banking segment. Retail Banking segment comprises Homes and Consumer, SME and Financial Solutions Group (FSG) in a single integrated segment, focused on meeting the current, emerging and future needs of personal and SME customers. Geographically, it derives a majority of revenue from Ireland and also has a presence in the United Kingdom and the Rest of the World."
Aibel ASA,Energy Services,Norway,N/A,14.6,Low Risk,2,104,1501,15785,"Aibel ASA builds and maintains platforms and other critical infrastructure for the energy industry. The company is engaged in three segments, Modifications and yard services, Field development, and Offshore wind."
"Aica Kogyo Co., Ltd.",Chemicals,Japan,"4,963",25.6,Medium Risk,136,569,8129,15785,"Aica Kogyo Co Ltd is a Japanese manufacturing company. It operates its business in four segments which are Chemical Products, Specialty & Performance Materials, Laminated Sheets, and Building & Housing Materials. The company mainly provides adhesives, resin, melamine doors, wall coating materials, countertops, decorative panels, polyester panels and boards. It also provides solar batteries, lamps, and silicone materials."
Aichi Corp.,Machinery,Japan,"1,043",29.4,Medium Risk,301,585,10621,15785,"Aichi Corp is a Japan-based engaged in the manufacturing and selling of vehicles for electric utilities and telecommunications, and other vehicles for construction, cargo handling, shipbuilding, and railroad industries. The company's main products include Aerial work platforms, digger derricks, vehicles for the electric utilities, telecommunications, construction, shipbuilding and rail industries, and other specialized vehicles."
"Aichi Financial Group, Inc.",Banks,Japan,"2,406",34.2,High Risk,961,1014,12958,15785,Aichi Financial Group Inc is involved in the banking business. It provides banking products and services.
Aichi Steel Corp.,Steel,Japan,"4,650",37.9,High Risk,72,159,14142,15785,"Aichi Steel Corp is a Japan-based company that manufactures and sells steel, forged products and electro-magnetic products. The company operates through four segments. The steel segment manufactures and sells specialty steel, stainless steel, and titanium. The forged product segment produces a wide variety of forgings. The electromagnetic products segment manufactures electromagnetic components. The steel and forged products segments are the two biggest segments, representing the majority of Aichi Steel's sales. Aichi Steel is a member of Toyota Group. Toyota Motor and Toyota Tsusho are its major customers. The company generates most of its revenue from the Japanese domestic market."
Aida Engineering Ltd.,Machinery,Japan,"2,046",31.2,High Risk,370,585,11617,15785,"Aida Engineering Ltd is a Japan-based company that manufactures, sells, and services press machines and their ancillary facilities. The company's principal products comprise general-purpose servo presses, midsize and large servo presses, precision forming presses, general-purpose presses, midsize and large presses, high-speed automatic presses, cold forging presses, transfer feeders, coil feeders, and tooling dies. The company's services include overhaul, preventative maintenance, press inspections, machine relocation, and others. The company generates sales in Japan, Asia, the Americas, and Europe."
"Aier Eye Hospital Group Co., Ltd.",Healthcare,China,"32,326",28.9,Medium Risk,382,623,10268,15785,"Aier Eye Hospital Group Co Ltd provides international ophthalmic technology and management services in China. The company offers services in myopia surgery, cataract, pediatric, eye plastic surgery, myopia prevention and control to patients. The group also enables high-standard medical care."
AIFUL Corp.,Diversified Financials,Japan,"2,180",29.5,Medium Risk,493,912,10625,15785,"Aiful Corp provides consumer financing and consumer credit services exclusively in Japan. The company operates and reports results through four segments: its loan business, its credit card business, and its credit guarantee business, as well as its other segment. The company generates nearly all of its revenue through interest and its largest contributor to revenue is its loan business. The vast majority of the company's loans on its books are unsecured. Other loans include mortgages and small-business loans. The company handles its credit guarantee services in tie-ups with commercial banks."
"AIMA Technology Group Co., Ltd.",Automobiles,China,"8,126",13.0,Low Risk,8,90,920,15785,"Emma Technology Group Co Ltd is engaged in the research and development, production, and sales of electric bicycles, electric mopeds, and electric motorcycles."
AIMCo Realty Investors LP,Diversified Financials,Canada,N/A,28.5,Medium Risk,459,912,10062,15785,"AIMCo Realty Investors LP is AIMCo's (Alberta Investment Management Corporation) primary vehicle to invest in Canadian real estate. AIMCo Realty Investors LP operates as an investment company. The company offers public and private investments and various investment strategies to customers. It serves customers across world. The company operates a portfolio of well-located and high-quality properties, principally situated in many cities across Canada."
